,,Havg,Havg,Havg,Havg,Hmax,Hmax,Hmax,Hmax,HmaxPeriod,HmaxPeriod,HmaxPeriod,HmaxPeriod,Tavg,Tavg,Tavg,Tavg
,,max,mean,min,std,max,mean,min,std,max,mean,min,std,max,mean,min,std
station_id,Date,,,,,,,,,,,,,,,,
Belmullet Wave Buoy Berth A,2012-05-16,1.4515,1.31311538462,1.2002,0.0669779885772,4.16,3.59576923077,2.94,0.343047204646,12.27,9.72115384615,7.69,1.19332251105,7.23,6.49,5.94,0.340986803264
Belmullet Wave Buoy Berth A,2012-05-17,1.3713,1.1787875,1.0106,0.0929632108085,3.87,3.07208333333,2.46,0.34785028776,12.95,9.12708333333,6.78,1.12160022144,7.8,7.08520833333,6.22,0.423219622998
Belmullet Wave Buoy Berth A,2012-05-18,1.5908,1.37241041667,1.1686,0.108367010839,4.74,3.66916666667,2.9,0.461357079289,10.18,7.83416666667,5.82,0.924406269102,7.24,6.46479166667,5.57,0.564842247167
Belmullet Wave Buoy Berth A,2012-05-19,1.229,0.760020833333,0.4276,0.226930800173,3.48,2.06416666667,1.15,0.622438011383,9.64,7.18666666667,5.46,0.958188302316,5.74,5.38333333333,5.02,0.18368953147
Belmullet Wave Buoy Berth A,2012-05-20,1.3086,0.790864583333,0.3669,0.344506079673,3.58,2.07083333333,1.0,0.86729914183,8.56,6.56458333333,3.65,1.4270084142,5.7,4.75166666667,3.66,0.698132260021
Belmullet Wave Buoy Berth A,2012-05-21,1.0671,0.951270833333,0.7762,0.0679983383975,3.24,2.59458333333,2.06,0.263712918808,10.86,8.09895833333,5.07,1.17754927544,6.37,5.776875,5.3,0.276506752255
Belmullet Wave Buoy Berth A,2012-05-22,1.2779,1.04716041667,0.8932,0.0831466500895,4.48,2.84125,2.28,0.392962696513,11.05,7.92625,6.36,1.02458009043,6.92,5.6075,4.98,0.429925772911
Belmullet Wave Buoy Berth A,2012-05-23,1.7226,1.46461666667,1.2123,0.121267224411,5.39,4.00229166667,3.03,0.516676118079,11.02,9.239375,8.14,0.702243839115,8.09,7.21354166667,6.28,0.472010140458
Belmullet Wave Buoy Berth A,2012-05-24,1.421,1.05084166667,0.7306,0.187862416648,4.06,2.83208333333,2.01,0.538030127818,10.83,9.18416666667,8.0,0.665840800516,8.47,7.85916666667,6.68,0.375549715287
