Local,P07,P01,P06,Unit_label,Unit_note,Comment
PeakPeriod,http://vocab.nerc.ac.uk/collection/P07/current/CFV13N31/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,Wave period of waves at peak of wave energy spectrum.
PeakDirection,http://vocab.nerc.ac.uk/collection/P07/current/I8P5MQ0F/,,http://vocab.nerc.ac.uk/collection/P06/current/UABB/,degrees True,deg T,Direction for waves at peak of wave energy spectrum from which the waves are coming.
PeakSpread,http://vocab.nerc.ac.uk/collection/P07/current/X37RPE7M/,,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,degrees,deg,Directional spread of waves at peak of wave energy spectrum.
SignificantWaveHeight,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0385/,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,metres,m,Significant wave height derived from wave energy spectrum.
EnergyPeriod,http://vocab.nerc.ac.uk/collection/P07/current/CFV8N74/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,"Energy period derived from spectral moments, m-1 and m0."
MeanWavePeriod_Tm01,http://vocab.nerc.ac.uk/collection/P07/current/CFV8N73/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,"Mean wave period derived from spectral moments, m0 and m1."
MeanWavePeriod_Tm02,http://vocab.nerc.ac.uk/collection/P07/current/CFV8N75/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,"Mean wave period derived from spectral moments, m0 and m2."
Hmax,http://vocab.nerc.ac.uk/collection/P07/current/JNQS0CMX/,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,metres,m,Maximum wave height measured during the period of observation.
HmaxPeriod,http://vocab.nerc.ac.uk/collection/P07/current/OCVYVB2M/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,Period of maximum wave height measured during the period of observation.
Havg,http://vocab.nerc.ac.uk/collection/P07/current/IRPTM00V/,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,metres,m,Average wave height of all the upcrossing waves measured during the period of observation.
Tavg,http://vocab.nerc.ac.uk/collection/P07/current/SUM7H3HM/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,Average wave period of all the upcrossing waves measured during the period of observation.
MeanCurDirTo,http://vocab.nerc.ac.uk/collection/P07/current/9IWLLFXP/,,http://vocab.nerc.ac.uk/collection/P06/current/UABB/,degrees True,deg T,"Acoustic current meter mean current direction, defined as direction the water particles are moving towards."
MeanCurSpeed,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0334/,,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,metres per second,m/s,Acoustic current meter mean current speed.
SeaTemperature,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0381/,,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,degrees Celsius,degC,The water temperature close to the ocean's surface. A measure of how hot or cold the water is.
THmax,http://vocab.nerc.ac.uk/collection/P07/current/OCVYVB2M/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,Wave period of the highest wave.
UpcrossPeriod,http://vocab.nerc.ac.uk/collection/P07/current/8WMKETJA/,,http://vocab.nerc.ac.uk/collection/P06/current/UTBB/,seconds,s,The zero upcrossing period is defined as the time interval between consecutive occasions on which the surface height passes upward above the mean level.
AtmosphericPressure,http://vocab.nerc.ac.uk/collection/P07/current/Q9ZYSAOC/,,http://vocab.nerc.ac.uk/collection/P06/current/UPBB/,millibar,mBar,The pressure exerted by the weight of the atmosphere.
WindDirection,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0036/,,http://vocab.nerc.ac.uk/collection/P06/current/UABB/,degrees True,deg T,The wind vane points into the oncoming wind and the 10 minute average wind direction is recorded. Reported Hourly.
WindSpeed,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0038/,,http://vocab.nerc.ac.uk/collection/P06/current/UKNT/,knots,kn,The average wind speed (knots) for 10 minutes. Reported Hourly.
