,,EnergyPeriod,EnergyPeriod,EnergyPeriod,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm01,MeanWavePeriod_Tm01,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02,MeanWavePeriod_Tm02,MeanWavePeriod_Tm02,MeanWavePeriod_Tm02,PeakDirection,PeakDirection,PeakDirection,PeakDirection,PeakPeriod,PeakPeriod,PeakPeriod,PeakPeriod,PeakSpread,PeakSpread,PeakSpread,PeakSpread,SignificantWaveHeight,SignificantWaveHeight,SignificantWaveHeight,SignificantWaveHeight
,,max,mean,min,std,max,mean,min,std,max,mean,min,std,max,mean,min,std,max,mean,min,std,max,mean,min,std,max,mean,min,std
station_id,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmullet Wave Buoy Berth A,2012-05-16,9.543686,8.68300303704,7.958305,0.380354887892,7.97,7.10407407407,6.36,0.399155447445,7.018,6.23122222222,5.556,0.36809554919,,8.02715550326,,72.3410758273,13.33,12.1214814815,8.33,0.977314624184,37.3,28.0518518519,20.4,4.52568485003,2.59,2.34222222222,2.13,0.131977076487
Belmullet Wave Buoy Berth A,2012-05-17,9.527016,8.754937,8.037431,0.353776363783,8.36,7.53625,6.77,0.424542933197,7.692,6.81116666667,6.061,0.480939034192,,353.056775574,,70.4646711238,13.33,11.2016666667,7.69,1.41052930058,46.8,32.3229166667,16.1,6.0531068015,2.29,2.0175,1.78,0.127954446681
Belmullet Wave Buoy Berth A,2012-05-18,8.793375,7.70728247917,6.633322,0.633246325073,7.91,6.79416666667,5.85,0.591747622071,7.407,6.2519375,5.405,0.539071479342,,359.166291002,,74.6659603795,11.76,8.945625,6.25,1.2507068746,51.7,31.8583333333,21.8,6.37103930642,2.71,2.35333333333,1.96,0.195375615689
Belmullet Wave Buoy Berth A,2012-05-19,7.063243,6.73839004167,6.382825,0.150203048424,5.92,5.691875,5.38,0.13952283806,5.333,5.139875,4.878,0.13668968194,,3.16604929126,,85.6373559553,10.53,7.864375,5.88,1.04278658238,43.0,30.9229166667,21.7,4.88729310204,2.12,1.33729166667,0.76,0.384197088071
Belmullet Wave Buoy Berth A,2012-05-20,6.88933,6.05023345833,4.849176,0.610340997108,5.83,4.99125,3.76,0.722011448604,5.333,4.524875,3.448,0.673434563786,,291.828349005,,32.3506326751,10.53,7.56875,3.57,1.83823646408,49.7,31.6895833333,19.5,7.98155425549,2.18,1.37375,0.67,0.573602371727
Belmullet Wave Buoy Berth A,2012-05-21,8.114725,7.32885925,6.433375,0.485598888315,6.96,6.16625,5.53,0.362060445171,6.349,5.54152083333,5.0,0.319198730173,,286.826323032,,16.7693521964,11.11,9.45895833333,8.33,0.909917554328,44.2,33.2583333333,25.1,4.95433759376,1.97,1.68645833333,1.4,0.13656094553
Belmullet Wave Buoy Berth A,2012-05-22,8.335728,7.12980616667,6.541731,0.395997515735,7.28,5.985,5.43,0.410645573742,6.557,5.40075,4.878,0.372715081416,,267.175618317,,17.5514065786,11.76,9.206875,6.67,1.60362907083,57.4,33.575,19.9,9.48962479361,2.24,1.84979166667,1.62,0.137569937082
Belmullet Wave Buoy Berth A,2012-05-23,9.440559,8.691534375,8.052941,0.317360045384,8.58,7.6625,6.8,0.396304739826,8.0,6.98779166667,6.061,0.430545619118,,245.360550308,,23.6039915544,11.11,10.3264583333,9.09,0.36991367356,47.0,31.8354166667,18.7,6.4130017396,3.16,2.576875,2.14,0.230846326797
Belmullet Wave Buoy Berth A,2012-05-24,9.444879,9.0254169375,8.310095,0.242165376846,8.73,8.24541666667,7.34,0.271245812466,8.333,7.71879166667,6.557,0.326608618558,,249.693841023,,17.4126058295,11.76,10.3645833333,9.09,0.560869227878,47.8,34.0625,21.4,6.06832112504,2.34,1.80958333333,1.38,0.301675874629
Belmullet Wave Buoy Berth A,2012-05-25,8.743419,7.64868072917,6.726756,0.594497262254,7.72,6.33520833333,5.21,0.718769603495,6.897,5.56827083333,4.494,0.662265574408,,246.062056095,,23.7375548415,10.53,9.23895833333,7.69,0.709465605252,53.3,40.0854166667,23.8,5.72255669625,1.51,1.18729166667,0.91,0.16897361727
Belmullet Wave Buoy Berth A,2012-05-26,7.02224,5.74799140426,5.171114,0.627690484218,5.67,4.7229787234,4.23,0.41814244969,5.0,4.28044680851,3.846,0.30699998644,,32.7877048099,,55.7956161946,9.09,6.54659574468,4.35,1.77409165563,51.0,27.0255319149,13.3,10.6401305174,1.24,0.935531914894,0.72,0.130547484458
