,,PeakPeriod,PeakDirection,PeakSpread,SignificantWaveHeight,EnergyPeriod,MeanWavePeriod_Tm01,MeanWavePeriod_Tm02
,,avail,avail,avail,avail,avail,avail,avail
station_id,Date,,,,,,,
Belmullet Wave Buoy Berth A,2012-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-05-16,56.25,56.25,56.25,56.25,56.25,56.25,56.25
Belmullet Wave Buoy Berth A,2012-05-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-19,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-20,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-22,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-05-26,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667
Belmullet Wave Buoy Berth A,2012-05-27,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333
Belmullet Wave Buoy Berth A,2012-05-28,79.1666666667,79.1666666667,79.1666666667,79.1666666667,79.1666666667,79.1666666667,79.1666666667
Belmullet Wave Buoy Berth A,2012-05-29,72.9166666667,72.9166666667,72.9166666667,72.9166666667,72.9166666667,72.9166666667,72.9166666667
Belmullet Wave Buoy Berth A,2012-05-30,87.5,87.5,87.5,87.5,87.5,87.5,87.5
Belmullet Wave Buoy Berth A,2012-05-31,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333
Belmullet Wave Buoy Berth A,2012-06-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-05,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-06,87.5,87.5,87.5,87.5,87.5,87.5,87.5
Belmullet Wave Buoy Berth A,2012-06-07,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-08,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Belmullet Wave Buoy Berth A,2012-06-09,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333
Belmullet Wave Buoy Berth A,2012-06-10,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333
Belmullet Wave Buoy Berth A,2012-06-11,75.0,75.0,75.0,75.0,75.0,75.0,75.0
Belmullet Wave Buoy Berth A,2012-06-12,81.25,81.25,81.25,81.25,81.25,81.25,81.25
Belmullet Wave Buoy Berth A,2012-06-13,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333,89.5833333333
Belmullet Wave Buoy Berth A,2012-06-14,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
Belmullet Wave Buoy Berth A,2012-06-15,93.75,93.75,93.75,93.75,93.75,93.75,93.75
Belmullet Wave Buoy Berth A,2012-06-16,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-17,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-06-18,4.16666666667,52.0833333333,52.0833333333,52.0833333333,52.0833333333,52.0833333333,52.0833333333
Belmullet Wave Buoy Berth A,2012-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-08-01,52.0833333333,52.0833333333,52.0833333333,52.0833333333,52.0833333333,52.0833333333,52.0833333333
Belmullet Wave Buoy Berth A,2012-08-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-03,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333
Belmullet Wave Buoy Berth A,2012-08-04,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-05,97.9166666667,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-06,93.75,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-07,97.9166666667,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-08,93.75,93.75,93.75,93.75,93.75,93.75,93.75
Belmullet Wave Buoy Berth A,2012-08-09,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-10,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-11,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-12,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333,95.8333333333
Belmullet Wave Buoy Berth A,2012-08-13,93.75,93.75,93.75,93.75,93.75,93.75,93.75
Belmullet Wave Buoy Berth A,2012-08-14,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-15,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667
Belmullet Wave Buoy Berth A,2012-08-16,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333,83.3333333333
Belmullet Wave Buoy Berth A,2012-08-17,2.08333333333,2.08333333333,2.08333333333,2.08333333333,2.08333333333,2.08333333333,2.08333333333
Belmullet Wave Buoy Berth A,2012-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belmullet Wave Buoy Berth A,2012-08-20,64.5833333333,64.5833333333,64.5833333333,64.5833333333,64.5833333333,64.5833333333,64.5833333333
Belmullet Wave Buoy Berth A,2012-08-21,93.75,93.75,93.75,93.75,93.75,93.75,93.75
Belmullet Wave Buoy Berth A,2012-08-22,81.25,81.25,81.25,81.25,81.25,81.25,81.25
Belmullet Wave Buoy Berth A,2012-08-23,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-24,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-25,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-26,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-27,93.75,93.75,93.75,93.75,93.75,93.75,93.75
Belmullet Wave Buoy Berth A,2012-08-28,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667,91.6666666667
Belmullet Wave Buoy Berth A,2012-08-29,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-08-31,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667,97.9166666667
Belmullet Wave Buoy Berth A,2012-09-01,72.9166666667,72.9166666667,72.9166666667,72.9166666667,72.9166666667,72.9166666667,72.9166666667
Belmullet Wave Buoy Berth A,2012-09-02,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belmullet Wave Buoy Berth A,2012-09-03,100.0,100.0,100.0,100.0,100.0,100.0,100.0
